anio,funcion,sexo,decil,valor_millones
2017,Total,Hombres,VIII,144586.693
2017,Total,Hombres,IX,157007.105
2017,Total,Hombres,X,173849.345
2018,Total,Hombres,Total,1307861.871
2018,Total,Hombres,I,77387.472
2018,Total,Hombres,II,84834.197
2018,Total,Hombres,III,104292.601
2018,Total,Hombres,IV,109283.899
2018,Total,Hombres,V,122285.663
2018,Total,Hombres,VI,133578.319
2018,Total,Hombres,VII,150325.495
2018,Total,Hombres,VIII,158739.632
2018,Total,Hombres,IX,173455.755
2018,Total,Hombres,X,193678.837
2019,Total,Hombres,Total,1416892.907
2019,Total,Hombres,I,82494.635
2019,Total,Hombres,II,90395.65
2019,Total,Hombres,III,113192.021
2019,Total,Hombres,IV,116975.08
2019,Total,Hombres,V,133053.73
2019,Total,Hombres,VI,145180.976
2019,Total,Hombres,VII,163583.572
2019,Total,Hombres,VIII,171704.845
2019,Total,Hombres,IX,188404.563
2019,Total,Hombres,X,211907.834
2020,Total,Hombres,Total,1593653.898
2020,Total,Hombres,I,93178.02
2020,Total,Hombres,II,103513.85
2020,Total,Hombres,III,128406.838
2020,Total,Hombres,IV,131773.379
2020,Total,Hombres,V,150002.798
2020,Total,Hombres,VI,163723.664
2020,Total,Hombres,VII,181952.487
2020,Total,Hombres,VIII,192870.95
2020,Total,Hombres,IX,210905.595
2020,Total,Hombres,X,237326.318
2021,Total,Hombres,Total,1646449.991
2021,Total,Hombres,I,96035.04
2021,Total,Hombres,II,108449.877
2021,Total,Hombres,III,132927.58
2021,Total,Hombres,IV,136058.736
2021,Total,Hombres,V,155156.798
2021,Total,Hombres,VI,168968.805
2021,Total,Hombres,VII,186741.832
2021,Total,Hombres,VIII,199222.833
2021,Total,Hombres,IX,217810.35
2021,Total,Hombres,X,245078.141
2022,Total,Hombres,Total,1807524.173
2022,Total,Hombres,I,105082.472
2022,Total,Hombres,II,120625.861
2022,Total,Hombres,III,146042.781
2022,Total,Hombres,IV,149203.198
2022,Total,Hombres,V,170740.942
2022,Total,Hombres,VI,184901.087
2022,Total,Hombres,VII,203678.23
2022,Total,Hombres,VIII,218221.734
2022,Total,Hombres,IX,239531.154
2022,Total,Hombres,X,269496.714
2023,Total,Hombres,Total,2013065.956
2023,Total,Hombres,I,117915.575
2023,Total,Hombres,II,136275.42
2023,Total,Hombres,III,163450.274
2023,Total,Hombres,IV,166059.71
2023,Total,Hombres,V,190410.653
2023,Total,Hombres,VI,206193.431
2023,Total,Hombres,VII,225169.474
2023,Total,Hombres,VIII,242486.426
2023,Total,Hombres,IX,265742.987
2023,Total,Hombres,X,299362.007
2024,Total,Hombres,Total,2192247.878
2024,Total,Hombres,I,128533.1
2024,Total,Hombres,II,151519.776
2024,Total,Hombres,III,179495.395
2024,Total,Hombres,IV,181295.07
2024,Total,Hombres,V,207034.153
2024,Total,Hombres,VI,226187.286
2024,Total,Hombres,VII,242997.366
2024,Total,Hombres,VIII,263368.913
2024,Total,Hombres,IX,287962.993
2024,Total,Hombres,X,323853.826
2003,Alimentos,Total,Total,389880.668
2003,Alimentos,Total,I,40265.039
2003,Alimentos,Total,II,44275.087
2003,Alimentos,Total,III,41386.716
2003,Alimentos,Total,IV,38333.712
2003,Alimentos,Total,V,41303.098
2003,Alimentos,Total,VI,40299.507
2003,Alimentos,Total,VII,38154.214
2003,Alimentos,Total,VIII,36388.058
2003,Alimentos,Total,IX,36118.77
2003,Alimentos,Total,X,33356.467
2004,Alimentos,Total,Total,428455.246
2004,Alimentos,Total,I,43050.779
2004,Alimentos,Total,II,47094.973
2004,Alimentos,Total,III,44705.705
2004,Alimentos,Total,IV,41790.247
2004,Alimentos,Total,V,44736.759
2004,Alimentos,Total,VI,44639.985
2004,Alimentos,Total,VII,42366.03
2004,Alimentos,Total,VIII,40741.161
2004,Alimentos,Total,IX,41239.841
2004,Alimentos,Total,X,38089.766
2005,Alimentos,Total,Total,499007.965
2005,Alimentos,Total,I,48801.334
2005,Alimentos,Total,II,53106.359
2005,Alimentos,Total,III,51200.549
2005,Alimentos,Total,IV,48296.155
2005,Alimentos,Total,V,51374.075
