periodo,sexo,poblacion,nivel_ingreso,nivel_instruccion
Tercer trimestre del 2021,Mujer,1336985.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2021,Hombre,1631652.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2021,Mujer,1321124.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2021,Hombre,1556134.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2021,Mujer,1319850.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2020,Hombre,1345474.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2020,Mujer,1262384.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2020,Hombre,1412150.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2020,Mujer,1156859.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2020,Hombre,1393052.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2020,Mujer,1390833.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2019,Hombre,1198496.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2019,Mujer,1306403.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2019,Hombre,1189087.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2019,Mujer,1293533.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2019,Hombre,1213729.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2019,Mujer,1309997.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2019,Hombre,1108479.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2019,Mujer,1303131.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2018,Hombre,979127.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2018,Mujer,1071476.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2018,Hombre,1019298.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2018,Mujer,1052860.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2018,Hombre,988220.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2018,Mujer,1053175.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2018,Hombre,988122.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2018,Mujer,1096395.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2017,Hombre,947401.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2017,Mujer,940481.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2017,Hombre,887634.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2017,Mujer,891050.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2017,Hombre,918390.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2017,Mujer,970355.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2017,Hombre,866247.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2017,Mujer,992904.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2016,Hombre,882107.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2016,Mujer,984860.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2016,Hombre,925925.0,Hasta un salario mínimo,Primaria completa
